File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022187144719_aid0001,SDS_LST,aid0001,2022-07-06 14:47:19 UTC,22677,009,0601,True,1948.0,285.02,287.32,"(285.02,287.32)",285.6974538,0.218341,0.0476728,285.82,286.2,285.7,285.18,285.56
ECO2LSTE_001_SDS_LST_doy2022189063846_aid0001,SDS_LST,aid0001,2022-07-08 06:38:46 UTC,22703,005,0601,True,1657.0,285.92,291.96,"(285.92,291.96)",289.4997707,0.8897692,0.7916893,290.16,291.96,289.52,287.16,288.94
ECO2LSTE_001_SDS_LST_doy2022190055057_aid0001,SDS_LST,aid0001,2022-07-09 05:50:57 UTC,22718,004,0601,True,1956.0,290.7,294.64,"(290.7,294.64)",292.2448671,0.6494613,0.4218,292.66,293.96,292.16,290.7,291.78
ECO2LSTE_001_SDS_LST_doy2022191131105_aid0001,SDS_LST,aid0001,2022-07-10 13:11:05 UTC,22738,013,0601,True,1962.0,288.52,293.18,"(288.52,293.18)",289.8377574,0.4999309,0.249931,290.12,291.0,289.82,288.62,289.52
ECO2LSTE_001_SDS_LST_doy2022193050225_aid0001,SDS_LST,aid0001,2022-07-12 05:02:25 UTC,22765,002,0601,True,1928.0,289.92,294.58,"(289.92,294.58)",291.87389,0.5591508,0.3126496,292.22,293.26,291.9,290.48,291.52
ECO2LSTE_001_SDS_LST_doy2022197032545_aid0001,SDS_LST,aid0001,2022-07-16 03:25:45 UTC,22826,001,0601,True,1953.0,294.92,298.24,"(294.92,298.24)",296.4657143,0.5057763,0.2558096,296.8,297.78,296.44,295.14,296.12
ECO2LSTE_001_SDS_LST_doy2022202090953_aid0001,SDS_LST,aid0001,2022-07-21 09:09:53 UTC,22907,020,0601,True,1956.0,290.54,294.82,"(290.54,294.82)",292.0291922,0.5849573,0.342175,292.345,293.42,291.98,290.54,291.62
ECO2LSTE_001_SDS_LST_doy2022205001248_aid0001,SDS_LST,aid0001,2022-07-24 00:12:48 UTC,22948,004,0601,True,1952.0,306.0,311.98,"(306.0,311.98)",309.4556455,0.8664808,0.750789,310.02,311.62,309.46,307.36,308.92
ECO2LSTE_001_SDS_LST_doy2022208223530_aid0001,SDS_LST,aid0001,2022-07-27 22:35:30 UTC,23009,004,0601,True,1932.0,313.52,322.84,"(313.52,322.84)",318.8622878,1.2817353,1.6428455,319.72,321.92,318.98,315.74,318.1
ECO2LSTE_001_SDS_LST_doy2022210055502_aid0001,SDS_LST,aid0001,2022-07-29 05:55:02 UTC,23029,016,0601,True,1932.0,290.06,294.0,"(290.06,294.0)",292.1950621,0.5621578,0.3160214,292.56,293.64,292.18,290.74,291.82
ECO2LSTE_001_SDS_LST_doy2022212205805_aid0001,SDS_LST,aid0001,2022-07-31 20:58:05 UTC,23070,002,0601,True,1946.0,227.82,260.86,"(227.82,260.86)",247.7527544,2.8014062,7.8478766,249.22,253.2,247.9,242.56,246.52
